,Method,Metric,Train,Test,Threshold,Rep
12,sse,sse,434.83,290.13,0.0,7
13,sse,crps,402.01,255.27,0.0,7
14,sse,dss,-948.94,-608.36,0.0,7
15,sse,is1,5147.03,3220.34,0.0,7
16,crps,sse,474.54,307.31,0.1,7
17,crps,crps,418.91,260.15,0.1,7
18,crps,dss,-764.7,-503.19,0.1,7
19,crps,is1,5169.02,3223.34,0.1,7
20,dss,sse,443.94,292.32,0.1,7
21,dss,crps,406.95,254.58,0.1,7
22,dss,dss,-914.93,-589.8,0.1,7
23,dss,is1,5163.34,3222.4,0.1,7
24,is1,sse,700.99,451.22,0.1,7
25,is1,crps,469.57,296.96,0.1,7
26,is1,dss,174.54,113.13,0.1,7
27,is1,is1,5212.3,3262.49,0.1,7
28,sse,sse,443.94,292.32,0.1,7
29,sse,crps,406.95,254.58,0.1,7
30,sse,dss,-914.93,-589.8,0.1,7
31,sse,is1,5163.34,3222.4,0.1,7
32,crps,sse,1664.32,1080.83,0.3,7
33,crps,crps,838.26,532.27,0.3,7
34,crps,dss,859.38,573.2,0.3,7
35,crps,is1,6185.76,3890.42,0.3,7
36,dss,sse,1664.32,1080.83,0.3,7
37,dss,crps,838.26,532.27,0.3,7
38,dss,dss,859.38,573.2,0.3,7
39,dss,is1,6185.76,3890.42,0.3,7
40,is1,sse,2281.74,1416.79,0.3,7
