,Method,Metric,Train,Test,Threshold,Rep
45,sse,crps,1478.31,1479.35,0.3,4
46,sse,dss,2270.29,2258.09,0.3,4
47,sse,is1,5205.34,5524.22,0.3,4
48,crps,sse,17221.96,16830.39,0.5,4
49,crps,crps,1478.31,1479.35,0.5,4
50,crps,dss,2270.29,2258.09,0.5,4
51,crps,is1,5205.34,5524.22,0.5,4
52,dss,sse,22006.03,20109.28,0.5,4
53,dss,crps,1568.73,1516.55,0.5,4
54,dss,dss,2030.25,2009.62,0.5,4
55,dss,is1,4924.93,5112.12,0.5,4
56,is1,sse,20950.39,19626.75,0.5,4
57,is1,crps,1524.42,1493.54,0.5,4
58,is1,dss,2101.85,2075.72,0.5,4
59,is1,is1,4736.42,5061.01,0.5,4
60,sse,sse,17221.96,16830.39,0.5,4
61,sse,crps,1478.31,1479.35,0.5,4
62,sse,dss,2270.29,2258.09,0.5,4
63,sse,is1,5205.34,5524.22,0.5,4
64,crps,sse,17221.96,16830.39,0.8,4
65,crps,crps,1478.31,1479.35,0.8,4
66,crps,dss,2270.29,2258.09,0.8,4
67,crps,is1,5205.34,5524.22,0.8,4
68,dss,sse,22006.03,20109.28,0.8,4
69,dss,crps,1568.73,1516.55,0.8,4
70,dss,dss,2030.25,2009.62,0.8,4
71,dss,is1,4924.93,5112.12,0.8,4
72,is1,sse,20950.39,19626.75,0.8,4
73,is1,crps,1524.42,1493.54,0.8,4
74,is1,dss,2101.85,2075.72,0.8,4
75,is1,is1,4736.42,5061.01,0.8,4
76,sse,sse,17221.96,16830.39,0.8,4
77,sse,crps,1478.31,1479.35,0.8,4
78,sse,dss,2270.29,2258.09,0.8,4
79,sse,is1,5205.34,5524.22,0.8,4
0,crps,sse,15714.43,18734.31,0.0,5
1,crps,crps,1334.84,1429.61,0.0,5
2,crps,dss,1879.41,1951.25,0.0,5
3,crps,is1,4738.27,4978.58,0.0,5
4,dss,sse,19209.98,22458.15,0.0,5
5,dss,crps,1456.7,1578.85,0.0,5
6,dss,dss,1955.79,2081.12,0.0,5
7,dss,is1,4799.73,5068.29,0.0,5
8,is1,sse,19209.98,22458.15,0.0,5
9,is1,crps,1456.7,1578.85,0.0,5
10,is1,dss,1955.79,2081.12,0.0,5
11,is1,is1,4799.73,5068.29,0.0,5
12,sse,sse,15636.61,18651.92,0.0,5
13,sse,crps,1339.56,1448.96,0.0,5
14,sse,dss,1975.81,2105.33,0.0,5
15,sse,is1,4728.58,4988.82,0.0,5
16,crps,sse,15714.43,18734.31,0.1,5
17,crps,crps,1334.84,1429.61,0.1,5
18,crps,dss,1879.41,1951.25,0.1,5
19,crps,is1,4738.27,4978.58,0.1,5
20,dss,sse,19209.98,22458.15,0.1,5
21,dss,crps,1456.7,1578.85,0.1,5
22,dss,dss,1955.79,2081.12,0.1,5
23,dss,is1,4799.73,5068.29,0.1,5
24,is1,sse,19209.98,22458.15,0.1,5
25,is1,crps,1456.7,1578.85,0.1,5
26,is1,dss,1955.79,2081.12,0.1,5
27,is1,is1,4799.73,5068.29,0.1,5
28,sse,sse,15768.78,18753.7,0.1,5
29,sse,crps,1440.13,1539.74,0.1,5
30,sse,dss,2234.37,2311.76,0.1,5
31,sse,is1,5242.56,5519.28,0.1,5
32,crps,sse,15714.43,18734.31,0.3,5
33,crps,crps,1334.84,1429.61,0.3,5
34,crps,dss,1879.41,1951.25,0.3,5
35,crps,is1,4738.27,4978.58,0.3,5
36,dss,sse,19209.98,22458.15,0.3,5
37,dss,crps,1456.7,1578.85,0.3,5
38,dss,dss,1955.79,2081.12,0.3,5
39,dss,is1,4799.73,5068.29,0.3,5
40,is1,sse,19209.98,22458.15,0.3,5
41,is1,crps,1456.7,1578.85,0.3,5
42,is1,dss,1955.79,2081.12,0.3,5
43,is1,is1,4799.73,5068.29,0.3,5
44,sse,sse,15768.78,18753.7,0.3,5
45,sse,crps,1440.13,1539.74,0.3,5
46,sse,dss,2234.37,2311.76,0.3,5
47,sse,is1,5242.56,5519.28,0.3,5
48,crps,sse,15714.43,18734.31,0.5,5
49,crps,crps,1334.84,1429.61,0.5,5
50,crps,dss,1879.41,1951.25,0.5,5
51,crps,is1,4738.27,4978.58,0.5,5
52,dss,sse,19209.98,22458.15,0.5,5
53,dss,crps,1456.7,1578.85,0.5,5
54,dss,dss,1955.79,2081.12,0.5,5
55,dss,is1,4799.73,5068.29,0.5,5
56,is1,sse,19209.98,22458.15,0.5,5
57,is1,crps,1456.7,1578.85,0.5,5
58,is1,dss,1955.79,2081.12,0.5,5
59,is1,is1,4799.73,5068.29,0.5,5
60,sse,sse,15768.78,18753.7,0.5,5
61,sse,crps,1440.13,1539.74,0.5,5
62,sse,dss,2234.37,2311.76,0.5,5
63,sse,is1,5242.56,5519.28,0.5,5
64,crps,sse,15768.78,18753.7,0.8,5
65,crps,crps,1440.13,1539.74,0.8,5
66,crps,dss,2234.37,2311.76,0.8,5
67,crps,is1,5242.56,5519.28,0.8,5
68,dss,sse,19209.98,22458.15,0.8,5
69,dss,crps,1456.7,1578.85,0.8,5
70,dss,dss,1955.79,2081.12,0.8,5
71,dss,is1,4799.73,5068.29,0.8,5
72,is1,sse,19209.98,22458.15,0.8,5
73,is1,crps,1456.7,1578.85,0.8,5
74,is1,dss,1955.79,2081.12,0.8,5
75,is1,is1,4799.73,5068.29,0.8,5
76,sse,sse,15768.78,18753.7,0.8,5
77,sse,crps,1440.13,1539.74,0.8,5
78,sse,dss,2234.37,2311.76,0.8,5
79,sse,is1,5242.56,5519.28,0.8,5
0,crps,sse,16251.95,17732.13,0.0,6
1,crps,crps,1335.26,1407.35,0.0,6
2,crps,dss,1891.68,1967.45,0.0,6
3,crps,is1,4746.83,4974.3,0.0,6
4,dss,sse,20783.92,21462.09,0.0,6
5,dss,crps,1531.51,1576.26,0.0,6
6,dss,dss,2016.85,2052.74,0.0,6
7,dss,is1,4984.06,5166.33,0.0,6
8,is1,sse,20188.23,20916.9,0.0,6
9,is1,crps,1492.5,1536.27,0.0,6
10,is1,dss,2074.46,2058.71,0.0,6
11,is1,is1,4870.99,5026.6,0.0,6
12,sse,sse,16158.77,17719.52,0.0,6
13,sse,crps,1417.76,1498.46,0.0,6
14,sse,dss,2147.2,2207.58,0.0,6
15,sse,is1,5190.25,5494.33,0.0,6
16,crps,sse,16251.95,17732.13,0.1,6
17,crps,crps,1335.26,1407.35,0.1,6
18,crps,dss,1891.68,1967.45,0.1,6
19,crps,is1,4746.83,4974.3,0.1,6
20,dss,sse,20783.92,21462.09,0.1,6
21,dss,crps,1531.51,1576.26,0.1,6
22,dss,dss,2016.85,2052.74,0.1,6
23,dss,is1,4984.06,5166.33,0.1,6
24,is1,sse,20188.23,20916.9,0.1,6
25,is1,crps,1492.5,1536.27,0.1,6
26,is1,dss,2074.46,2058.71,0.1,6
27,is1,is1,4870.99,5026.6,0.1,6
28,sse,sse,16194.39,17855.25,0.1,6
29,sse,crps,1437.75,1518.69,0.1,6
30,sse,dss,2241.47,2287.42,0.1,6
31,sse,is1,5233.65,5524.87,0.1,6
32,crps,sse,16251.95,17732.13,0.3,6
33,crps,crps,1335.26,1407.35,0.3,6
34,crps,dss,1891.68,1967.45,0.3,6
35,crps,is1,4746.83,4974.3,0.3,6
36,dss,sse,20783.92,21462.09,0.3,6
37,dss,crps,1531.51,1576.26,0.3,6
38,dss,dss,2016.85,2052.74,0.3,6
39,dss,is1,4984.06,5166.33,0.3,6
40,is1,sse,20188.23,20916.9,0.3,6
41,is1,crps,1492.5,1536.27,0.3,6
42,is1,dss,2074.46,2058.71,0.3,6
43,is1,is1,4870.99,5026.6,0.3,6
44,sse,sse,16194.39,17855.25,0.3,6
45,sse,crps,1437.75,1518.69,0.3,6
46,sse,dss,2241.47,2287.42,0.3,6
47,sse,is1,5233.65,5524.87,0.3,6
48,crps,sse,16194.39,17855.25,0.5,6
49,crps,crps,1437.75,1518.69,0.5,6
50,crps,dss,2241.47,2287.42,0.5,6
51,crps,is1,5233.65,5524.87,0.5,6
52,dss,sse,20783.92,21462.09,0.5,6
53,dss,crps,1531.51,1576.26,0.5,6
54,dss,dss,2016.85,2052.74,0.5,6
55,dss,is1,4984.06,5166.33,0.5,6
56,is1,sse,20188.23,20916.9,0.5,6
57,is1,crps,1492.5,1536.27,0.5,6
58,is1,dss,2074.46,2058.71,0.5,6
59,is1,is1,4870.99,5026.6,0.5,6
60,sse,sse,16194.39,17855.25,0.5,6
61,sse,crps,1437.75,1518.69,0.5,6
62,sse,dss,2241.47,2287.42,0.5,6
63,sse,is1,5233.65,5524.87,0.5,6
64,crps,sse,16194.39,17855.25,0.8,6
65,crps,crps,1437.75,1518.69,0.8,6
66,crps,dss,2241.47,2287.42,0.8,6
67,crps,is1,5233.65,5524.87,0.8,6
68,dss,sse,20783.92,21462.09,0.8,6
69,dss,crps,1531.51,1576.26,0.8,6
70,dss,dss,2016.85,2052.74,0.8,6
71,dss,is1,4984.06,5166.33,0.8,6
72,is1,sse,20188.23,20916.9,0.8,6
73,is1,crps,1492.5,1536.27,0.8,6
74,is1,dss,2074.46,2058.71,0.8,6
75,is1,is1,4870.99,5026.6,0.8,6
76,sse,sse,16194.39,17855.25,0.8,6
77,sse,crps,1437.75,1518.69,0.8,6
78,sse,dss,2241.47,2287.42,0.8,6
79,sse,is1,5233.65,5524.87,0.8,6
0,crps,sse,18647.37,16931.01,0.0,7
1,crps,crps,1471.97,1346.34,0.0,7
2,crps,dss,2077.4,1942.35,0.0,7
3,crps,is1,5229.48,4682.28,0.0,7
4,dss,sse,20160.02,21423.02,0.0,7
5,dss,crps,1534.89,1495.92,0.0,7
6,dss,dss,2084.47,1962.91,0.0,7
7,dss,is1,5118.22,4744.57,0.0,7
8,is1,sse,20160.02,21423.02,0.0,7
9,is1,crps,1534.89,1495.92,0.0,7
10,is1,dss,2084.47,1962.91,0.0,7
11,is1,is1,5118.22,4744.57,0.0,7
12,sse,sse,18259.91,16930.39,0.0,7
13,sse,crps,1553.02,1412.8,0.0,7
14,sse,dss,2218.47,2158.72,0.0,7
15,sse,is1,5804.35,4925.89,0.0,7
16,crps,sse,18647.37,16931.01,0.1,7
17,crps,crps,1471.97,1346.34,0.1,7
